artist,album_title,year,label,thumb,release_url,track_count,tracklist
Various,Magic News Vol. 103,2005,Fonografika,https://i.discogs.com/FzDcGqtFZy_C-dZ2LBjoGlyky0ZlritnOHwkQ1aGJNU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0OTYy/MDUtMTIyNDA1Njcy/OC5qcGVn.jpeg,https://api.discogs.com/releases/1496205,17,1: Zgadnij kto przy mikrofonie 2: Wiosna 3: Święty spokuj 4: Samopomoc chłopska 5: Dziś tylko to mam 6: Słoik 7: Sztuczne uśmiechy 8: Wiosło dla... 9: Esencja tworu akcji 10: Koperta 11: Ja z moja muzyką 12: Trampki 13: Tej.wyścig po zwycięstwo 14: Pogoń to 15: Funkkrok studio 16: Koniec sąsiada
Słoń,Zero Absolutne,2021,"Aloha Entertainment, Aloha Entertainment, Aloha Entertainment",https://i.discogs.com/rNsyQ3bJSDzAMv0iIcInhKt_hwFgezozoT-nLpik7CM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NDQ2/NDE0LTE2MTgxNjkw/NzEtNjA1Ni5wbmc.jpeg,https://api.discogs.com/releases/17446414,30,"1-1: Nigdy nie jest za poźno 1-2: Warsaw parano 1-3: Dzieci smogu 1-4: Pieniądze 1-5: Aplikacja 1-6: Ostatni dzień miesiąca 1-7: Na ratunek 1-8: Revolver 1-9: Home office 1-10: Nigdy nie jest za późno rmx 1-11: Hawajscy patole rmx : ""aloha grubo krojone mixtape"" 2-1: Zostaw to (instrumental) + lil jon - act a fool (acapella) 2-2: Hk rufijok & dj hwr - test (instrumental) & future mask off (instrumental) + zostaw to (acapella) 2-3: Kiedy dobrzy ludzie robią złe rzeczy (instrumental) + da shop boyz - party like a rockstar (acapella) 2-4: Hk rufijok & dj hwr - bukiet róż (instrumental) + kiedy dobrzy ludzie robią złe rzeczy (acapella) 2-5: Hawajscy patole (instrumental) + pitch black - show & prove (acapella) 2-6: Pitch black -show & prove (instrumental) + hawajscy patole (acapella) 2-7: zupa na gwoździu (instrumental) + sean price - snow (acapella) & big l - mvp (acapella) 2-8: Dr.dre - group therapy (instrumental) + mistrz imprezy (acapella) 2-9: Detox (instrumental) + talib kweli - move somethin (acapella) 2-10: Wu tang - triumph (instrumental) + fajrant (acapella) 2-11: Redman - ride or die (instrumental) & snoop dogg - the wash (instrumental) & this is what they meant (ge-ology’s remix instrumental) + ładuj (acapella) 2-12: Chamska poniewierka (instrumental) + rah digga - lesson of today (acapella) 2-13: Knoc-turn’al - str8 west coast (instrumental) + chamska poniewierka (acapella) 2-14: Rodzina (instrumental) + inspectah deck - r.e.c. (acapella) 2-15: Anderson peak - come down (instrumental) + palnik (acapella) 2-16: Bag bricks & iimari (instrumental) + christo (acapella) 2-17: Bez komentarza (instrumental) + baby d - i'm bout money (acapella)"
kabe x Miszel,Złote Przeboje,2020,"RPS Enterteyment, RPS Enterteyment, My Music, Eprom Sounds Studio",https://i.discogs.com/iGjqMLzwiiBboc8okUR0VVou1_PUbolXpTbKqQNQxxY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4MjQ4/MTc2LTE2MTgxMzUw/OTItNzY0Ni5qcGVn.jpeg,https://api.discogs.com/releases/18248176,30,"1-1: Ar 15 (zawartość kontrowersyjna) 1-2: Paradoks szympansa 1-3: Next level 1-4: Omotiow 1-5: Richtown 1-6: Red zone 1-7: Zwiększamy zasięg 1-8: Richtown (extended version) 1-9: Flamenco : ""ar-15 ep"" (instrumentals): 2-1: Ar 15 (zawartość kontrowersyjna) 2-2: Paradoks szympansa 2-3: Next level 2-4: Omotiow 2-5: Richtown 2-6: Red zone 2-7: Zwiększamy zasięg 2-8: Richtown (extended version) 2-9: Flamenco : ""ar-15 ep"" (cassette): 1: Ar 15 (zawartość kontrowersyjna) 2: Paradoks szympansa 3: Next level 4: Omotiow 5: Richtown 6: Red zone 7: Zwiększamy zasięg 8: Richtown (extended version) 9: Flamenco"
Rest Dixon37,Wiara Nadzieja Miłość 3,2020,Szpadyzor Records,https://i.discogs.com/vDj393p_a0ztopM5sGVXFxpBj89vlW5o-GFm3Vwlr-8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzQ3/MTE5LTE1OTAwOTA3/NTAtNzg2MS5qcGVn.jpeg,https://api.discogs.com/releases/15347119,42,"1-1: Sitikol 1-2: Królów król 1-3: Miejskie etno 1-4: Pogoda pod psem 1-5: Yabadabadoo 1-6: Nosorożec flo 1-7: Towarzystwo ludzi prostych 1-8: Co będzie to będzie 1-9: Leśna liga 1-10: Testament 1-11: Hefajstos 1-12: Piękna katastrofa 1-13: Układ nagrody 1-14: Napad 1-15: Kubrick 1-16: Biały lew 1-17: Wielki szu 1-18: Lodołamacz 1-19: Beton fest 1-20: Wschód 1-21: Homkol : ""instrumentale"" 2-1: Król królów 2-2: Miejskie etno 2-3: Pogoda pod psem 2-4: Yabadabadoo 2-5: Nosorożec flo 2-6: Towarzystwo ludzi prostych 2-7: Co będzie to będzie 2-8: Leśna liga 2-9: Testament 2-10: Hefajstos 2-11: Piękna katastrofa 2-12: Układ nagrody 2-13: Napad 2-14: Kubrick 2-15: Biały lew 2-16: Wielki szu 2-17: Lodołamacz 2-18: Beton fest 2-19: Wschód"
Rover,Bezdech,2020,Szpadyzor Records,https://i.discogs.com/FWl_uDoP3MfmiiplnKEzVV-tGhJr8Iyy0Gd2sgGF74Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzQ3/MjAyLTE1OTAxMzIy/MzMtNTM2Ny5qcGVn.jpeg,https://api.discogs.com/releases/15347202,42,"1-1: Sitikol 1-2: Królów król 1-3: Miejskie etno 1-4: Pogoda pod psem 1-5: Yabadabadoo 1-6: Nosorożec flo 1-7: Towarzystwo ludzi prostych 1-8: Co będzie to będzie 1-9: Leśna liga 1-10: Testament 1-11: Hefajstos 1-12: Piękna katastrofa 1-13: Układ nagrody 1-14: Napad 1-15: Kubrick 1-16: Biały lew 1-17: Wielki szu 1-18: Lodołamacz 1-19: Beton fest 1-20: Wschód 1-21: Homkol : ""instrumentale"" 2-1: Król królów 2-2: Miejskie etno 2-3: Pogoda pod psem 2-4: Yabadabadoo 2-5: Nosorożec flo 2-6: Towarzystwo ludzi prostych 2-7: Co będzie to będzie 2-8: Leśna liga 2-9: Testament 2-10: Hefajstos 2-11: Piękna katastrofa 2-12: Układ nagrody 2-13: Napad 2-14: Kubrick 2-15: Biały lew 2-16: Wielki szu 2-17: Lodołamacz 2-18: Beton fest 2-19: Wschód"
Kojot x Oxon,Dziwny Niemowlak,2020,Aloha Entertainment,https://i.discogs.com/4sjEI7MCqN5j-7VpWgK0Y7Q3nUdPcEs0kJzlJAw_v30/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0OTI0/MTY0LTE1ODQzNzIy/OTctNDY2Ny5qcGVn.jpeg,https://api.discogs.com/releases/14924164,26,"1-1: Niezależność 1-2: Pro publico bono 1-3: Fejki i hieny 1-4: Hawajscy patole 1-5: Bez komentarza 1-6: Harmonia równowaga 1-7: Chłopiec 1-8: Podaruję ci księżyc 1-9: Loch nesse 1-10: Obojętność 1-11: Dziennik 2020 1-12: Sam : ""dziennik 2020 - instrumentals"" 2-1: Niezależność 2-2: Pro publico bono 2-3: Fejki i hieny 2-4: Hawajscy patole 2-5: Bez komentarza 2-6: Harmonia równowaga 2-7: Chłopiec 2-8: Podaruję ci księżyc 2-9: Loch nesse 2-10: Obojętność 2-11: Dziennik 2020 2-12: Sam"
"Ferguson, Kudel",Jebać Przeszłość,2020,"Asfalt Records, Asfalt Records, Asfalt Records",https://i.discogs.com/0OiM4bTl7QsurmWJG57NBT8pq_6Nq6f6LxpB6cyaGSI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0ODU4/NzY2LTE1ODI5NjQy/NTctODgwNC5wbmc.jpeg,https://api.discogs.com/releases/14858766,34,"1-1: Preambuła 1-2: Ł.u.f. 1-3: Candyman 1-4: Lęk wysokości 1-5: Son goku 1-6: Jeden strzał 1-7: Król 1-8: Na lepsze czasy 1-9: Nie chcę 1-10: Incognito 1-11: Paranormalny 1-12: 01:58 1-13: Las vegas 1-14: Ostatnia impreza 1-15: P.p.p. 1-16: Wada serca : ""gniew - snap jazz edition"" 2-1: Preambuła 2-2: Ł.u.f. 2-3: Candyman 2-4: Lęk wysokości 2-5: Son goku 2-6: Jeden strzał 2-7: Król 2-8: Na lepsze czasy 2-9: Nie chcę 2-10: Incognito 2-11: Paranormalny 2-12: 01:58 2-13: Las vegas 2-14: Ostatnia impreza 2-15: P.p.p. 2-16: Wada serca"
Filipek,Gra Na Emocjach II,2020,"Asfalt Records, Asfalt Records, Asfalt Records",https://i.discogs.com/YlhGLabSF0YeXuZE-5W7uieGFdDL7I4i3eQ_ZwYwaSc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0ODUy/NTM0LTE1ODI5OTYx/OTAtOTU3OC5qcGVn.jpeg,https://api.discogs.com/releases/14852534,34,"1-1: Preambuła 1-2: Ł.u.f. 1-3: Candyman 1-4: Lęk wysokości 1-5: Son goku 1-6: Jeden strzał 1-7: Król 1-8: Na lepsze czasy 1-9: Nie chcę 1-10: Incognito 1-11: Paranormalny 1-12: 01:58 1-13: Las vegas 1-14: Ostatnia impreza 1-15: P.p.p. 1-16: Wada serca : ""gniew - snap jazz edition"" 2-1: Preambuła 2-2: Ł.u.f. 2-3: Candyman 2-4: Lęk wysokości 2-5: Son goku 2-6: Jeden strzał 2-7: Król 2-8: Na lepsze czasy 2-9: Nie chcę 2-10: Incognito 2-11: Paranormalny 2-12: 01:58 2-13: Las vegas 2-14: Ostatnia impreza 2-15: P.p.p. 2-16: Wada serca"
2NP,Wszystko Jedno,2020,WCK 47,https://i.discogs.com/c0rgA9Pdtpenx4VJF5g6EPz9oaAAQzwH-T0JaDMJxAs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MDI0/Mjc2LTE1ODcwNDUw/MzktMzE1NS5qcGVn.jpeg,https://api.discogs.com/releases/15024276,25,"1: Ciemny las 2: Rks orzeł 3: Łomot 4: Średnie ogólne 5: Bąbel nie śpij 6: Jeśli szukasz 7: Światło 8: Światła nie da się schwytać 9: Gotowy na cud 10: Szlachta 11: Kuchnia polska 12: Do zobaczenia na szlaku : ""fundament"" 1: Cudze, nasze 2: Ctc gtg 3: Grochowskie momenty 4: Il colazione 5: 4m2 6: Wzrasta 7: Petarda 8: Że da się 9: Inmajsoul : Bonus 10: Kokosy"
Cywil,Lęk Wysokości,2013,"Max Flo Records, Max Flo Records, Mystic Production, Max Flo Records, Max Flo Records, Contrabanda Music Studio, GM Records, Akord",https://i.discogs.com/jjReWljNkOTx9Sqfnnng1hCiptZlC-8D_KaM7H_-WK4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2NjYy/NzEtMTQyNDE5Mzgy/Mi01NjkyLmpwZWc.jpeg,https://api.discogs.com/releases/6666271,46,"CD-1: O.r.s. – początek CD-2: Nowa fala CD-3: Śpiesz się powoli CD-4: Nie-ma-nic CD-5: Na szczycie CD-6: One CD-7: Nienienie CD-8: Moc CD-9: Siebie mi daj CD-10: Ruffneck CD-11: Kiedy byłem skit CD-12: Biba CD-13: Przestań się bać CD-14: Bo to polska CD-15: Niematojak CD-16: Jak wczoraj CD-17: Koniec CD-18.1: Nowa fala remix CD-18.2: Porobi cię : ""koncert w mega clubie"" DVD-1: Intro DVD-2: Rób swoje DVD-3: Moc DVD-4: Boobox DVD-5: O.r.s. + nowa fala DVD-6: Naprawimy to DVD-7: Wakacje DVD-8: Będąc sobą DVD-9: Ruffneck DVD-10: Serce DVD-11: Nie ma to jak DVD-12: Antidotum DVD-13: Piosenka robocza DVD-14: Nie nie nie DVD-15: Na szczycie DVD-16: Gruby brzuch DVD-17: Koniec DVD-18: Jea?!? DVD-19: Fejm DVD-20: Polonez DVD-21: Szczery : Extras: DVD-22: Gruby brzuch - zacieszacz DVD-23: Wręczenie platynowej płyty DVD-24: Konkurs"
Qry,Droga Snów,2019,Trip Records,https://i.discogs.com/OtKuGbMcVrlLAS53BvPE8eDb4xk4t5C6uVvkZfiu8-w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNzU1/MDYzLTE1NjA2MDU5/MzYtODAyOS5qcGVn.jpeg,https://api.discogs.com/releases/13755063,17,"1: Dla was 2: Kastet 3: Ego-tyka 4: Na miejsce 5: Diss wszechmogący 6: Oda dowa dywy mowy 7: Poprawna praca serca 8: Katastrofa w nadfiolecie 9: Słowo 10: Poprawna praca serca (wersja oryginalna hansa) : ""odrzuty i dodatki"" 11: Wiadomość 12: Rumpenschnitzen 13: Zmarła 14: 52 #hot16 mix 15: Powstanie styczniowe (live 2013)"
"Dj Pstyk, Kot Kuler, Tuwim",Nazwa,2021,"Szpadyzor Records, Preorder.pl",https://i.discogs.com/uxP7l_EK0dO6tHFhV9ct2sLkIODwx56cnevs3x7cjaI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMzg3/NzA2LTE2Mzk3NzA5/NDMtNTk5MC5qcGVn.jpeg,https://api.discogs.com/releases/21387706,47,"1: Intro 2: Headshot 3: Pategokolunia 4: Holiday 5: B-29 6: ***** *** 7: Pokaż mi hajs 8: Wah-wah 9: To nic 10: Mango 11: Cisza 12: 1up (rmx) 13: To nic (radioactive rmx) 14: Outro : Tailorcut presents: dge x sheller ""instrumental"" 1: Intro 2: Headshot 3: Pategokolunia 4: Holiday 5: B-29 6: ***** *** 7: Pokaż mi hajs 8: Wah-wah 9: To nic 10: Mango 11: Cisza 12: 1up (rmx) 13: To nic (radioactive rmx) 14: Outro : Dj soina presents: dge x sheller ""bak in da dayz"" 1: No tracklist : ""trinity"" [mc] A1: Intro A2: Headshot A3: Pategokolunia A4: Holiday A5: B-29 A6: ***** *** A7: Pokaż mi hajs B1: Wah-wah B2: To nic B3: Mango B4: Cisza B5: 1up (rmx) B6: To nic (radioactive rmx) B7: Outro"
Dj Pstyk,The Doom's Tape,2021,"Szpadyzor Records, Preorder.pl",https://i.discogs.com/YohiMVNbACqMER-xdJpuWlmwhFeasV4FbX4m4moYVPo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMzg3/NTIzLTE2Mzk3Njkx/MjctNTQwNy5qcGVn.jpeg,https://api.discogs.com/releases/21387523,30,"1-1: Intro 1-2: Headshot 1-3: Pategokolunia 1-4: Holiday 1-5: B-29 1-6: ***** *** 1-7: Pokaż mi hajs 1-8: Wah-wah 1-9: To nic 1-10: Mango 1-11: Cisza 1-12: 1up (rmx) 1-13: To nic (radioactive rmx) 1-14: Outro : Tailorcut presents: dge x sheller ""instrumental"" 2-1: Intro 2-2: Headshot 2-: Pategokolunia 2-4: Holiday 2-5: B-29 2-6: ***** *** 2-7: Pokaż mi hajs 2-8: Wah-wah 2-9: To nic 2-10: Mango 2-11: Cisza 2-12: 1up (rmx) 2-13: To nic (radioactive rmx) 2-14: Outro"
Dewu / KrzyHu,W Dwa Tygodnie,2021,"Shpady, Shpady",https://i.discogs.com/bAMetK2W5ktESfgLpiFKOvi3ZHPA3ybYjm9YBzumDZ0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMDM0/ODc4LTE2NTEwOTY0/ODctNjg2NS5qcGVn.jpeg,https://api.discogs.com/releases/23034878,16,1: Albatrosy 2: Koniokrady 3: Dedukuj kit 4: Memy 5: Wojny lemurów 6: Black hawk down 7: Msza za miasto arras 8: Kawa 9: Maradona 10: Hajs w siatkach 11: Z dala od ludzkich siedzib 12: Bangladesz 13: Będę robił rap 14: Barbarzyńcy w ogrodach snów 15: Protokół zniszczenia / zmowa
